wavelenght,avobenzone,octocrylene,ecamsule,all
290.0,290.0,1060.0,120.0,1060.0
291.0,282.0,1070.0,132.0,1070.0
292.0,274.0,1080.0,144.0,1080.0
293.0,266.0,1090.0,156.0,1090.0
294.0,258.0,1100.0,168.0,1100.0
295.0,250.0,1110.0,180.0,1110.0
296.0,244.0,1118.0,194.0,1118.0
297.0,238.0,1126.0,208.0,1126.0
298.0,232.0,1134.0,222.0,1134.0
299.0,226.0,1142.0,236.0,1142.0
300.0,220.0,1150.0,250.0,1150.0
301.0,219.0,1152.0,267.0,1152.0
302.0,218.0,1154.0,284.0,1154.0
303.0,217.0,1156.0,301.0,1156.0
304.0,216.0,1158.0,318.0,1158.0
305.0,215.0,1160.0,335.0,1160.0
306.0,222.0,1156.0,357.0,1156.0
307.0,229.0,1152.0,379.0,1152.0
308.0,236.0,1148.0,401.0,1148.0
309.0,243.0,1144.0,423.0,1144.0
310.0,250.0,1140.0,445.0,1140.0
311.0,264.0,1130.0,474.0,1130.0
312.0,278.0,1120.0,503.0,1120.0
313.0,292.0,1110.0,532.0,1110.0
314.0,306.0,1100.0,561.0,1100.0
315.0,320.0,1090.0,590.0,1090.0
316.0,338.0,1072.0,614.0,1072.0
317.0,356.0,1054.0,638.0,1054.0
318.0,374.0,1036.0,662.0,1036.0
319.0,392.0,1018.0,686.0,1018.0
320.0,410.0,1000.0,710.0,1000.0
321.0,436.0,982.0,738.0,982.0
322.0,462.0,964.0,766.0,964.0
323.0,488.0,946.0,794.0,946.0
324.0,514.0,928.0,822.0,928.0
325.0,540.0,910.0,850.0,910.0
326.0,564.0,882.0,875.0,882.0
327.0,588.0,854.0,900.0,900.0
328.0,612.0,826.0,925.0,925.0
329.0,636.0,798.0,950.0,950.0
330.0,660.0,770.0,975.0,975.0
331.0,686.0,738.0,990.0,990.0
332.0,712.0,706.0,1005.0,1005.0
333.0,738.0,674.0,1020.0,1020.0
334.0,764.0,642.0,1035.0,1035.0
335.0,790.0,610.0,1050.0,1050.0
336.0,814.0,586.0,1062.0,1062.0
337.0,838.0,562.0,1074.0,1074.0
338.0,862.0,538.0,1086.0,1086.0
339.0,886.0,514.0,1098.0,1098.0
340.0,910.0,490.0,1110.0,1110.0
341.0,928.0,462.0,1118.0,1118.0
342.0,946.0,434.0,1126.0,1126.0
343.0,964.0,406.0,1134.0,1134.0
344.0,982.0,378.0,1142.0,1142.0
345.0,1000.0,350.0,1150.0,1150.0
346.0,1018.0,330.0,1140.0,1140.0
347.0,1036.0,310.0,1130.0,1130.0
348.0,1054.0,290.0,1120.0,1120.0
349.0,1072.0,270.0,1110.0,1110.0
350.0,1090.0,250.0,1100.0,1100.0
351.0,1100.0,230.0,1075.0,1100.0
352.0,1110.0,210.0,1050.0,1110.0
353.0,1120.0,190.0,1025.0,1120.0
354.0,1130.0,170.0,1000.0,1130.0
355.0,1140.0,150.0,975.0,1140.0
356.0,1142.0,138.0,956.0,1142.0
357.0,1144.0,126.0,937.0,1144.0
358.0,1146.0,114.0,918.0,1146.0
359.0,1148.0,102.0,899.0,1148.0
360.0,1150.0,90.0,880.0,1150.0
361.0,1136.0,81.0,850.0,1136.0
362.0,1122.0,72.0,820.0,1122.0
363.0,1108.0,63.0,790.0,1108.0
364.0,1094.0,54.0,760.0,1094.0
365.0,1080.0,45.0,730.0,1080.0
366.0,1054.0,42.0,686.0,1054.0
367.0,1028.0,39.0,642.0,1028.0
368.0,1002.0,36.0,598.0,1002.0
369.0,976.0,33.0,554.0,976.0
370.0,950.0,30.0,510.0,950.0
371.0,922.0,26.0,468.0,922.0
372.0,894.0,22.0,426.0,894.0
373.0,866.0,18.0,384.0,866.0
374.0,838.0,14.0,342.0,838.0
375.0,810.0,10.0,300.0,810.0
376.0,786.0,8.0,270.0,786.0
377.0,762.0,6.0,240.0,762.0
378.0,738.0,4.0,210.0,738.0
379.0,714.0,2.0,180.0,714.0
380.0,690.0,0.0,150.0,690.0
381.0,635.0,0.0,130.0,635.0
382.0,580.0,0.0,110.0,580.0
383.0,525.0,0.0,90.0,525.0
384.0,470.0,0.0,70.0,470.0
385.0,415.0,0.0,50.0,415.0
386.0,372.0,0.0,42.0,372.0
387.0,329.0,0.0,34.0,329.0
388.0,286.0,0.0,26.0,286.0
389.0,243.0,0.0,18.0,243.0
390.0,200.0,0.0,10.0,200.0
391.0,179.0,0.0,8.0,179.0
392.0,158.0,0.0,6.0,158.0
393.0,137.0,0.0,4.0,137.0
394.0,116.0,0.0,2.0,116.0
395.0,95.0,0.0,0.0,95.0
396.0,84.0,0.0,0.0,84.0
397.0,73.0,0.0,0.0,73.0
398.0,62.0,0.0,0.0,62.0
399.0,51.0,0.0,0.0,51.0
400.0,40.0,0.0,0.0,40.0
